"Date","Description","Institution","Account","Category","Is Hidden","Is Pending","Amount"
"11/10/2025","MCDONALDS ROCHESTER MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($7.64)"
"11/10/2025","CASHBACK BONUS REDEMPTION CRDT","Discover Credit Card - via Direct Web Access","3549","Income","No","No","$16.27"
"11/10/2025","CUB FOODS INC","Capital One","Quicksilver","Groceries","No","No","($25.88)"
"11/10/2025","ETHAN GATES ETHAN GATES","Online Access - via Direct Web Access","Checking Account","Income","No","Yes","$950"
"11/8/2025","DAIRY QUEEN","Capital One","Quicksilver","Fast Food & Convenience","No","No","($9.2)"
"11/7/2025","AMEX SEND ADD MONEY","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Groceries","No","No","($195)"
"11/7/2025","TESLA SERVICE US","Discover Credit Card - via Direct Web Access","3549","Auto Service","No","No","($950.1)"
"11/7/2025","MARY BRIGH PARKING","Capital One","Quicksilver","Parking","No","No","($8)"
"11/7/2025","MN MC MARY BRIGH PHARM","Capital One","Quicksilver","Pharmacy","No","No","($1.36)"
"11/6/2025","GGLPAY CHICKFILA ROCHESTER MN","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Fast Food & Convenience","No","No","($16.18)"
"11/6/2025","MONEY LINE RECEIVED EFT FUNDS RECEIVED WEB","Fidelity Investments","Growth Portfolio","Excluded","No","No","$500"
"11/6/2025","FID BKG SVC LLC MONEYLINE","Online Access - via Direct Web Access","Checking Account","Excluded","No","No","($500)"
"11/5/2025","FID BKG SVC LLC MONEYLINE","Online Access - via Direct Web Access","Checking Account","Excluded","No","No","($400)"
"11/5/2025","FID BKG SVC LLC MONEYLINE","Online Access - via Direct Web Access","Checking Account","Excluded","No","No","($25)"
"11/5/2025","MONEY LINE RECEIVED EFT FUNDS RECEIVED WEB","Fidelity Investments","Index Portfolio","Excluded","No","No","$25"
"11/5/2025","MONEY LINE RECEIVED EFT FUNDS RECEIVED WEB","Fidelity Investments","Growth Portfolio","Excluded","No","No","$400"
"11/4/2025","GOOGLE GOOGLE ONE CA","Discover Credit Card - via Direct Web Access","3549","Electronics & Software","No","No","($9.99)"
"11/4/2025","DIRECTPAY FULL BALANCE","Discover Credit Card - via Direct Web Access","3549","Excluded","No","No","$245.48"
"11/4/2025","LILSON HEALTH TE BILL.COM ETHAN GATES","Online Access - via Direct Web Access","Checking Account","Income","No","No","$2000"
"11/4/2025","CASH AUTO REDEMPTION","Capital One","Quicksilver","Auto Service","No","No","$25"
"11/3/2025","TAQUITOS","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Food","No","No","($3.39)"
"11/3/2025","PWP PATREON ME PRIVACYCOM ETHAN GATES","Online Access - via Direct Web Access","Checking Account","Business","No","No","($10.74)"
"11/3/2025","VENMO PAYMENT","Online Access - via Direct Web Access","Checking Account","Excluded","No","No","($10)"
"11/3/2025","MAVERIK","Capital One","Quicksilver","Fast Food & Convenience","No","No","($13.36)"
"11/3/2025","KWIK TRIP","Capital One","Quicksilver","Gas & Fuel","No","No","($15.61)"
"11/3/2025","PY PIZZA RANCH AMES","Capital One","Quicksilver","Restaurants/Dining","No","No","($18.62)"
"11/3/2025","MAVERIK","Capital One","Quicksilver","Fast Food & Convenience","No","No","($5.27)"
"11/3/2025","MAVERIK","Capital One","Quicksilver","Fast Food & Convenience","No","No","($8.45)"
"11/2/2025","MCDONALDS ROCHESTER MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($9.18)"
"11/1/2025","GGLPAY COURTESY OF BONALASKA WI","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Restaurants/Dining","No","No","($6.37)"
"11/1/2025","PAYPAL DOORDASH CA","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Online Payment","No","No","($1)"
"11/1/2025","PAYPAL DOORDASH CA","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Online Payment","No","No","($27.72)"
"11/1/2025","GGLPAY CHICKFILA AMES IA","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Fast Food & Convenience","No","No","($12.1)"
"11/1/2025","MCDONALDS ROCHESTER MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($6.37)"
"11/1/2025","GOOGLE CLOUD G.CO HELPPAY CA","Discover Credit Card - via Direct Web Access","3549","Electronics & Software","No","No","($0.51)"
"10/31/2025","KWIK STAR","Capital One","Quicksilver","Fast Food & Convenience","No","No","($9.75)"
"10/30/2025","GOOGLE FI","Capital One","Quicksilver","Phone, Internet & Cable","No","No","($37)"
"10/30/2025","MONEY LINE RECEIVED EFT FUNDS RECEIVED WEB","Fidelity Investments","Growth Portfolio","Excluded","No","No","$500"
"10/30/2025","TRAILS TA TRAVEL CE","Capital One","Quicksilver","Gas & Fuel","No","No","($8.07)"
"10/30/2025","GOOGLE FI","Capital One","Quicksilver","Excluded","No","No","($74.84)"
"10/30/2025","FID BKG SVC LLC MONEYLINE","Online Access - via Direct Web Access","Checking Account","Excluded","No","No","($500)"
"10/29/2025","AUDIBLE AMZN.COM BILLNJ","Discover Credit Card - via Direct Web Access","3549","Books","No","No","($16.16)"
"10/29/2025","MONEY LINE RECEIVED EFT FUNDS RECEIVED WEB","Fidelity Investments","Index Portfolio","Excluded","No","No","$25"
"10/29/2025","WM SUPERCENTER","Capital One","Quicksilver","Shopping","No","No","($55.47)"
"10/29/2025","FID BKG SVC LLC MONEYLINE","Online Access - via Direct Web Access","Checking Account","Excluded","No","No","($25)"
"10/27/2025","CHICKFILA MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($8.48)"
"10/27/2025","VENMO PAYMENT","Online Access - via Direct Web Access","Checking Account","Excluded","No","No","($22)"
"10/27/2025","FID BKG SVC LLC MONEYLINE","Online Access - via Direct Web Access","Checking Account","Excluded","No","No","($42)"
"10/27/2025","VENMO PAYMENT","Online Access - via Direct Web Access","Checking Account","Excluded","No","No","($12)"
"10/27/2025","PWP NYTIMES DIS PRIVACYCOM ETHAN GATES","Online Access - via Direct Web Access","Checking Account","Restaurants/Dining","No","No","($4.03)"
"10/26/2025","MCDONALDS ROCHESTER MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($6.49)"
"10/22/2025","MONEY LINE RECEIVED EFT FUNDS RECEIVED WEB","Fidelity Investments","Index Portfolio","Excluded","No","No","$10"
"10/22/2025","PWP ABC PLANET PRIVACYCOM ETHAN GATES","Online Access - via Direct Web Access","Checking Account","Clothing","No","No","($10.81)"
"10/22/2025","FID BKG SVC LLC MONEYLINE","Online Access - via Direct Web Access","Checking Account","Excluded","No","No","($10)"
"10/21/2025","LIME RIDES QBSJ CA","Discover Credit Card - via Direct Web Access","3549","Restaurants/Dining","No","No","($16.62)"
"10/21/2025","KWIK TRIP","Capital One","Quicksilver","Fast Food & Convenience","No","No","($3.78)"
"10/21/2025","ALDI","Capital One","Quicksilver","Groceries","No","No","($9.92)"
"10/21/2025","MN DEPT OF REVEN MN REV PAY","Ally","Savings Account","State Tax","No","No","($70)"
"10/20/2025","MCDONALDS ZUMBROTA MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($6.44)"
"10/20/2025","CHICKFILA MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($10.49)"
"10/20/2025","PHONE BILL","Online Access - via Direct Web Access","Checking Account","Excluded","No","No","$60"
"10/20/2025","WAHLBURGERS BLOOMINGTO","Capital One","Quicksilver","Fast Food & Convenience","No","No","($17.6)"
"10/20/2025","IRS USATAXPYMT","Ally","Savings Account","Federal Tax","No","No","($640)"
"10/18/2025","INTEREST PAID","Ally","Savings Account","Interest Income","No","No","$5.7"
"10/16/2025","PANERA BREAD K EDINA MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($16.67)"
"10/16/2025","KWIK TRIP ROCHESTER MN","Discover Credit Card - via Direct Web Access","3549","Gas & Fuel","No","No","($7.75)"
"10/16/2025","SANTANDER BILLPAY ETHAN GATES","Online Access - via Direct Web Access","Checking Account","Auto & Transport","No","No","($472.4)"
"10/15/2025","KWIK TRIP ROCHESTER MN","Discover Credit Card - via Direct Web Access","3549","Gas & Fuel","No","No","($8.38)"
"10/15/2025","MONEY LINE RECEIVED EFT FUNDS RECEIVED WEB","Fidelity Investments","Growth Portfolio","Excluded","No","No","$800"
"10/15/2025","MONEY LINE RECEIVED EFT FUNDS RECEIVED WEB","Fidelity Investments","Index Portfolio","Excluded","No","No","$10"
"10/15/2025","LILSON HEALTH TE BILL.COM ETHAN GATES","Online Access - via Direct Web Access","Checking Account","Income","No","No","$2000"
"10/15/2025","FID BKG SVC LLC MONEYLINE","Online Access - via Direct Web Access","Checking Account","Excluded","No","No","($10)"
"10/15/2025","FID BKG SVC LLC MONEYLINE","Online Access - via Direct Web Access","Checking Account","Excluded","No","No","($800)"
"10/10/2025","MCDONALDS ROCHESTER MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($6.49)"
"10/10/2025","TESLA SUPERCHARGER US TESLA.COM CA","Discover Credit Card - via Direct Web Access","3549","Auto Service","No","No","($3.76)"
"10/10/2025","TESLA SUPERCHARGER US TESLA.COM CA","Discover Credit Card - via Direct Web Access","3549","Auto Service","No","No","($0.73)"
"10/9/2025","GGLPAY CHICKFILA ROCHESTER MN","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Fast Food & Convenience","No","No","($14.2)"
"10/9/2025","HYVEE FOODS ROCHESTER MN","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Groceries","No","No","($3.23)"
"10/8/2025","MONEY LINE RECEIVED EFT FUNDS RECEIVED WEB","Fidelity Investments","Index Portfolio","Excluded","No","No","$10"
"10/8/2025","VENMO PAYMENT","Online Access - via Direct Web Access","Checking Account","Excluded","No","No","($125)"
"10/8/2025","FID BKG SVC LLC MONEYLINE","Online Access - via Direct Web Access","Checking Account","Excluded","No","No","($10)"
"10/7/2025","GGLPAY CUB FOODS ROCHESTER MN","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Groceries","No","No","($22.22)"
"10/6/2025","PAYPAL MPAG KO","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Online Payment","No","No","($3)"
"10/4/2025","HOLIDAY STATIONS","Capital One","Quicksilver","Gas & Fuel","No","No","($8.99)"
"10/4/2025","GOOGLE GOOGLE ONE CA","Discover Credit Card - via Direct Web Access","3549","Electronics & Software","No","No","($9.99)"
"10/4/2025","DIRECTPAY FULL BALANCE","Discover Credit Card - via Direct Web Access","3549","Excluded","No","No","$105.09"
"10/3/2025","GOOGLE HINGE DATING A CA","Discover Credit Card - via Direct Web Access","3549","Electronics & Software","No","No","($108.11)"
"10/2/2025","PWP PATREON ME PRIVACYCOM","Online Access - via Direct Web Access","Checking Account","Business","No","No","($10.74)"
"10/2/2025","PWP PRIVACY.COM","Online Access - via Direct Web Access","Checking Account","Entertainment","No","No","($6.65)"
"10/2/2025","SANTANDER BILLPAY ETHAN GATES","Online Access - via Direct Web Access","Checking Account","Auto & Transport","No","No","($472.4)"
"10/1/2025","GOOGLE CLOUD JRZWSF G.CO HELPPAY CA","Discover Credit Card - via Direct Web Access","3549","Electronics & Software","No","No","($0.51)"
"10/1/2025","MONEY LINE RECEIVED EFT FUNDS RECEIVED WEB","Fidelity Investments","Index Portfolio","Excluded","No","No","$10"
"10/1/2025","MONEY LINE RECEIVED EFT FUNDS RECEIVED WEB","Fidelity Investments","Growth Portfolio","Excluded","No","No","$500"
"10/1/2025","FID BKG SVC LLC MONEYLINE","Online Access - via Direct Web Access","Checking Account","Excluded","No","No","($10)"
"10/1/2025","LILSON HEALTH TE BILL.COM ETHAN GATES","Online Access - via Direct Web Access","Checking Account","Income","No","No","$2000"
"10/1/2025","FID BKG SVC LLC MONEYLINE","Online Access - via Direct Web Access","Checking Account","Excluded","No","No","($500)"
"9/30/2025","PHONE BILL","Capital One","Quicksilver","Phone, Internet & Cable","No","No","($111.56)"
"9/29/2025","CHICKFILA MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($15.1)"
"9/29/2025","PWP NYTIMES DIS PRIVACYCOM","Online Access - via Direct Web Access","Checking Account","Subscriptions","No","No","($4.03)"
"9/29/2025","VENMO PAYMENT","Online Access - via Direct Web Access","Checking Account","Excluded","No","No","($32)"
"9/27/2025","GGLPAY HYVEE FOODS ROCHESTER MN","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Groceries","No","No","($2.7)"
"9/26/2025","CHICKFILA MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($4.16)"
"9/26/2025","FID BKG SVC LLC MONEYLINE","Online Access - via Direct Web Access","Checking Account","Excluded","No","No","($42)"
"9/25/2025","CUB FOODS INC","Capital One","Quicksilver","Groceries","No","No","($10)"
"9/24/2025","CHICKFILA MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($10.48)"
"9/24/2025","OPENAI CA","Discover Credit Card - via Direct Web Access","3549","Personal Care","No","No","($10)"
"9/24/2025","MONEY LINE RECEIVED EFT FUNDS RECEIVED WEB","Fidelity Investments","Index Portfolio","Excluded","No","No","$10"
"9/24/2025","FID BKG SVC LLC MONEYLINE","Online Access - via Direct Web Access","Checking Account","Excluded","No","No","($10)"
"9/22/2025","SUBWAY ROCHESTER MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($18.13)"
"9/22/2025","MONEY LINE RECEIVED EFT FUNDS RECEIVED WEB","Fidelity Investments","Growth Portfolio","Excluded","No","No","$200"
"9/22/2025","CUB FOODS INC","Capital One","Quicksilver","Groceries","No","No","($9.7)"
"9/22/2025","FID BKG SVC LLC MONEYLINE","Online Access - via Direct Web Access","Checking Account","Excluded","No","No","($200)"
"9/22/2025","CONSUMER DIR DEP ETHAN GATES","Online Access - via Direct Web Access","Checking Account","Income","No","No","$355.55"
"9/22/2025","VENMO PAYMENT","Online Access - via Direct Web Access","Checking Account","Excluded","No","No","($40)"
"9/19/2025","CHICKFILA MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($10.26)"
"9/19/2025","PHONE BILL","Online Access - via Direct Web Access","Checking Account","Phone, Internet & Cable","No","No","$60"
"9/18/2025","INTEREST PAID","Ally","Savings Account","Interest Income","No","No","$4.34"
"9/18/2025","PWP ABC PLANET PRIVACYCOM","Online Access - via Direct Web Access","Checking Account","Gym","No","No","($10.81)"
"9/17/2025","AMEX SEND ADD MONEY","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Excluded","No","No","($173)"
"9/17/2025","SANTANDER BILLPAY ETHAN GATES","Online Access - via Direct Web Access","Checking Account","Auto & Transport","No","No","($472.4)"
"9/17/2025","IRS USATAXPYMT ETHAN T GATES","Online Access - via Direct Web Access","Checking Account","Federal Tax","No","No","($700)"
"9/17/2025","MN DEPT OF REVEN MN REV PAY ETHAN T GATES","Online Access - via Direct Web Access","Checking Account","State Tax","No","No","($100)"
"9/17/2025","ETHAN GATES ETHAN GATES","Online Access - via Direct Web Access","Checking Account","Income","No","No","$800"
"9/17/2025","FID BKG SVC LLC MONEYLINE","Online Access - via Direct Web Access","Checking Account","Excluded","No","No","($10)"
"9/17/2025","MONEY LINE RECEIVED EFT FUNDS RECEIVED WEB","Fidelity Investments","Index Portfolio","Excluded","No","No","$10"
"9/16/2025","FID BKG SVC LLC MONEYLINE","Online Access - via Direct Web Access","Checking Account","Excluded","No","No","($400)"
"9/16/2025","MONEY LINE RECEIVED EFT FUNDS RECEIVED WEB","Fidelity Investments","Growth Portfolio","Excluded","No","No","$400"
"9/16/2025","CUB FOODS INC","Capital One","Quicksilver","Groceries","No","No","($18.34)"
"9/15/2025","VENMO PAYMENT","Online Access - via Direct Web Access","Checking Account","Excluded","No","No","($20)"
"9/15/2025","VENMO PAYMENT","Online Access - via Direct Web Access","Checking Account","Excluded","No","No","($14)"
"9/15/2025","LILSON HEALTH TE BILL.COM ETHAN GATES","Online Access - via Direct Web Access","Checking Account","Income","No","No","$2000"
"9/15/2025","MCDONALDS","Capital One","Quicksilver","Fast Food & Convenience","No","No","($7.72)"
"9/15/2025","TARGET","Capital One","Quicksilver","Shopping","No","No","($8.25)"
"9/15/2025","MARSHALLS","Capital One","Quicksilver","Clothing","No","No","($134.92)"
"9/15/2025","RAISING CANES","Capital One","Quicksilver","Fast Food & Convenience","No","No","($13.07)"
"9/15/2025","CASEYS","Capital One","Quicksilver","Fast Food & Convenience","No","No","($2.19)"
"9/15/2025","WM SUPERCENTER","Capital One","Quicksilver","Shopping","No","No","($52.18)"
"9/14/2025","GGLPAY CHICKFILA ROCHESTER MN","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Fast Food & Convenience","No","No","($10.59)"
"9/13/2025","TESLA SUPERCHARGER US TESLA.COM CA","Discover Credit Card - via Direct Web Access","3549","Auto Service","No","No","($11.94)"
"9/13/2025","HOLIDAY STATIONS","Capital One","Quicksilver","Gas & Fuel","No","No","($6.99)"
"9/13/2025","TESLA SUPERCHARGER US TESLA.COM CA","Discover Credit Card - via Direct Web Access","3549","Auto Service","No","No","($5.41)"
"9/11/2025","GGLPAY CHICKFILA ROCHESTER MN","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Fast Food & Convenience","No","No","($8.48)"
"9/11/2025","SAVERS ROCHESTER MN","Discover Credit Card - via Direct Web Access","3549","Groceries","No","No","($7.49)"
"9/10/2025","FID BKG SVC LLC MONEYLINE","Online Access - via Direct Web Access","Checking Account","Excluded","No","No","$800"
"9/10/2025","FID BKG SVC LLC MONEYLINE","Online Access - via Direct Web Access","Checking Account","Excluded","No","No","($10)"
"9/10/2025","SUBWAY ROCHESTER MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($10.68)"
"9/10/2025","CHICKFILA MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($23.22)"
"9/10/2025","MONEY LINE RECEIVED EFT FUNDS RECEIVED WEB","Fidelity Investments","Index Portfolio","Excluded","No","No","$10"
"9/10/2025","MONEY LINE RECEIVED EFT FUNDS RECEIVED WEB","Fidelity Investments","Yield Portfolio","Excluded","No","No","($800)"
"9/9/2025","FID BKG SVC LLC MONEYLINE","Online Access - via Direct Web Access","Checking Account","Excluded","No","No","($500)"
"9/9/2025","MONEY LINE RECEIVED EFT FUNDS RECEIVED WEB","Fidelity Investments","Growth Portfolio","Excluded","No","No","$500"
"9/8/2025","PURCHASESIG CASH APP BRANDON SAN FRANCISCO US","Online Access - via Direct Web Access","Checking Account","Excluded","No","No","$20"
"9/8/2025","PURCHASESIG CASH APP BRANDON SAN FRANCISCO US","Online Access - via Direct Web Access","Checking Account","Excluded","No","No","$69"
"9/7/2025","MCDONALDS ROCHESTER MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($6.48)"
"9/5/2025","MCDONALDS ROCHESTER MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($10.79)"
"9/4/2025","GOOGLE GOOGLE ONE CA","Discover Credit Card - via Direct Web Access","3549","Electronics & Software","No","No","($9.99)"
"9/3/2025","GGLPAY CHICKFILA ROCHESTER MN","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Fast Food & Convenience","No","No","($10.59)"
"9/3/2025","FID BKG SVC LLC MONEYLINE","Online Access - via Direct Web Access","Checking Account","Excluded","No","No","($10)"
"9/3/2025","MONEY LINE RECEIVED EFT FUNDS RECEIVED WEB","Fidelity Investments","Index Portfolio","Excluded","No","No","$10"
"9/2/2025","PWP NYTIMES DIS PRIVACYCOM","Online Access - via Direct Web Access","Checking Account","Subscriptions","No","No","($4.03)"
"9/2/2025","PWP PATREON ME PRIVACYCOM","Online Access - via Direct Web Access","Checking Account","Business","No","No","($10.74)"
"9/2/2025","MCDONALDS ROCHESTER MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($6.48)"
"9/2/2025","CUB FOODS INC","Capital One","Quicksilver","Groceries","No","No","($26.46)"
